student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
460022,10.6,100.0,6.9,65.1,C
330798,8.1,100.0,5.2,51.7,D
820288,24.4,78.2,6.0,100.0,A
934969,35.6,83.6,5.0,100.0,A
878903,12.6,100.0,5.9,75.5,B
507015,21.8,73.1,10.0,100.0,A
63469,21.0,78.6,6.3,99.0,A
568671,6.9,84.6,8.0,80.6,B
855772,22.3,70.6,3.3,100.0,A
606373,7.3,69.8,6.0,67.5,C
358901,9.9,85.1,5.8,100.0,A
178393,13.4,79.5,6.4,68.5,C
921915,12.6,93.4,4.4,70.5,B
348366,10.1,94.3,7.2,77.1,B
377483,27.0,77.8,4.1,100.0,A
44793,19.2,94.3,10.0,93.4,A
690928,21.7,81.5,8.1,100.0,A
50314,22.1,70.7,4.6,100.0,A
780882,21.2,77.4,6.0,96.5,A
18959,22.9,80.7,6.5,97.5,A
804704,14.4,100.0,7.8,98.0,A
8986,26.7,85.3,4.2,100.0,A
99902,14.5,71.5,5.5,73.2,B
655319,23.7,95.2,7.1,100.0,A
224929,24.6,93.2,8.9,100.0,A
926626,20.4,84.3,7.2,93.3,A
67899,0.0,69.4,7.5,63.2,C
68879,8.5,95.3,6.9,78.7,B
904485,17.5,62.3,8.6,91.7,A
244300,4.1,59.2,7.4,56.5,C
912238,14.7,86.7,5.8,84.8,B
803685,22.6,74.7,5.4,97.2,A
444937,18.2,64.0,3.7,84.1,B
895959,21.6,71.8,8.5,100.0,A
858829,16.3,75.5,7.9,100.0,A
575348,18.7,79.2,8.5,96.6,A
464017,14.6,84.4,7.7,100.0,A
196830,8.5,71.1,6.0,70.1,B
309024,24.8,86.7,6.7,100.0,A
347382,16.3,75.3,2.2,83.9,B
310805,16.7,86.0,9.2,93.9,A
837524,2.0,86.2,10.0,46.8,D
268241,14.0,74.2,6.8,93.0,A
366138,19.3,82.7,6.0,95.4,A
449597,22.5,76.3,6.4,100.0,A
586918,13.7,86.3,6.0,89.0,A
980754,23.5,66.2,7.7,100.0,A
51663,17.1,100.0,9.6,90.3,A
892874,18.2,87.2,5.0,93.3,A
576799,20.1,94.3,3.5,100.0,A
480867,3.2,80.4,1.6,35.9,F
550671,6.1,92.1,8.2,56.4,C
584292,26.2,96.5,4.7,100.0,A
362132,16.4,91.5,4.7,95.5,A
33320,15.9,100.0,4.0,98.9,A
215538,17.3,94.5,2.5,65.2,C
126315,8.4,84.4,4.5,81.8,B
460374,19.3,88.1,5.4,96.1,A
489380,20.6,82.3,8.0,100.0,A
63225,11.8,79.2,5.2,85.9,A
965340,23.0,87.8,3.8,100.0,A
779636,4.0,79.3,4.1,59.3,C
695826,18.2,80.5,7.4,100.0,A
561881,10.8,100.0,5.3,76.8,B
279995,16.1,91.7,7.4,87.0,A
876145,19.9,58.7,4.2,100.0,A
571750,10.7,76.6,5.8,80.3,B
435459,5.6,78.1,6.1,68.7,C
256148,6.2,94.8,6.9,68.4,C
527944,9.6,85.7,3.6,73.5,B
330302,19.4,72.3,6.0,87.0,A
872560,14.4,85.3,9.3,80.4,B
69255,29.0,94.9,4.0,100.0,A
678876,14.2,86.6,6.1,100.0,A
275406,25.8,89.7,7.0,100.0,A
943252,21.6,94.2,6.2,100.0,A
587306,11.1,79.9,3.3,84.0,B
889146,0.8,82.6,3.8,59.2,C
379067,1.8,75.6,1.7,49.1,D
115772,26.0,73.1,6.9,100.0,A
517432,19.9,91.2,7.3,96.8,A
265974,15.2,88.6,5.6,72.4,B
675595,0.0,76.4,5.3,42.9,D
400808,13.9,75.2,6.0,82.0,B
565511,18.4,85.5,5.0,89.2,A
100076,5.2,91.6,6.8,69.4,C
701083,11.1,87.0,5.6,72.7,B
103661,23.8,88.9,4.5,100.0,A
172272,15.5,71.9,5.3,80.7,B
331228,14.8,85.4,5.8,93.2,A
259150,17.9,83.9,8.0,100.0,A
938627,12.1,70.3,5.5,76.4,B
606358,29.8,83.0,6.7,100.0,A
990307,14.6,75.6,3.6,87.7,A
829830,22.1,83.4,9.2,100.0,A
875278,30.8,83.9,6.0,100.0,A
256730,9.9,81.8,6.5,79.8,B
246896,13.4,100.0,7.8,73.7,B
40811,14.9,80.2,5.3,78.8,B
314675,7.3,79.2,7.0,60.2,C
20474,7.6,93.6,5.2,70.7,B
525061,7.2,100.0,6.2,73.5,B
582947,10.0,86.0,4.4,82.8,B
881795,13.8,78.6,5.9,84.9,B
974159,12.9,90.4,7.6,95.8,A
422759,10.3,76.5,5.5,79.8,B
673533,18.2,64.9,5.8,98.8,A
826661,17.6,84.3,5.0,91.5,A
733811,9.8,61.9,3.6,67.7,C
837316,16.5,87.9,6.1,96.8,A
570267,20.4,91.7,8.5,100.0,A
6299,12.6,78.1,5.8,91.2,A
996136,25.0,74.7,6.5,100.0,A
711525,15.2,73.7,7.2,86.4,A
959376,18.4,67.2,3.9,91.3,A
55071,15.8,71.8,4.6,79.9,B
21220,15.9,100.0,4.7,75.9,B
430194,4.3,100.0,5.9,65.6,C
992620,19.9,85.3,2.4,100.0,A
123552,2.7,72.1,2.6,59.8,C
432317,1.3,76.5,7.2,60.9,C
274637,4.5,74.3,6.3,57.6,C
115139,17.0,79.9,2.3,92.1,A
431447,16.6,92.9,5.2,85.3,A
92661,11.9,93.8,5.0,79.1,B
450103,14.7,90.1,6.7,79.9,B
348667,20.6,78.6,2.3,100.0,A
344475,10.2,85.7,7.8,63.1,C
483616,25.8,86.4,4.8,100.0,A
508946,4.4,78.2,4.7,59.5,C
481189,16.2,79.6,5.4,80.6,B
441452,16.2,75.8,6.9,96.3,A
531788,18.8,87.8,6.5,100.0,A
556419,23.3,88.1,6.1,100.0,A
973424,20.3,95.1,4.6,81.7,B
386543,14.6,93.8,6.1,82.6,B
25769,25.2,81.0,10.0,100.0,A
470129,17.2,86.9,7.3,100.0,A
931865,12.0,86.4,7.8,77.8,B
488470,13.6,79.5,8.2,90.5,A
200615,11.7,68.7,8.0,89.9,A
694207,16.0,84.4,5.1,99.9,A
969440,21.6,77.5,5.1,100.0,A
802842,19.6,100.0,6.8,100.0,A
98606,12.8,95.8,5.3,86.3,A
303098,2.5,94.5,7.1,66.8,C
765404,7.4,97.7,4.9,76.9,B
727933,17.7,89.7,3.5,98.4,A
519049,11.7,88.4,3.0,82.1,B
538357,9.3,89.9,9.5,81.8,B
442080,24.5,92.6,7.8,100.0,A
421034,20.9,94.9,8.4,98.3,A
185499,6.6,88.9,4.4,76.1,B
62037,17.4,75.0,3.5,74.7,B
26707,19.1,93.1,7.0,100.0,A
178229,12.7,82.2,7.4,93.8,A
265705,19.2,75.5,5.0,75.0,B
198494,22.5,83.3,4.6,100.0,A
373299,18.1,88.2,7.7,83.0,B
836406,16.1,97.8,4.6,78.8,B
160614,7.7,94.4,4.6,67.1,C
71973,16.6,65.0,4.6,92.2,A
803049,29.2,93.1,7.4,100.0,A
45679,28.4,91.2,8.5,100.0,A
599915,28.6,80.3,9.2,100.0,A
352278,5.5,78.7,2.8,59.5,C
458904,11.0,84.1,3.9,88.0,A
777380,18.9,88.9,4.9,100.0,A
841963,15.7,81.5,5.1,80.5,B
488709,16.7,83.6,6.8,80.9,B
360636,20.9,84.0,1.5,87.4,A
384369,15.2,86.1,6.0,90.5,A
194703,17.0,83.1,7.7,100.0,A
186263,12.9,91.2,4.3,88.5,A
743972,8.9,97.2,7.4,93.2,A
768295,14.0,86.5,3.7,89.3,A
394961,10.1,95.7,4.4,73.0,B
573358,14.7,88.2,7.0,91.2,A
928830,24.3,84.6,6.7,100.0,A
852652,18.9,98.9,6.2,100.0,A
736363,6.6,90.9,8.8,57.5,C
723093,12.3,82.4,5.6,80.5,B
496376,9.0,95.2,4.9,55.2,C
189081,28.5,90.8,3.6,100.0,A
829339,16.9,79.1,3.7,86.7,A
414039,9.9,83.5,5.4,64.3,C
773850,9.6,74.6,10.0,93.7,A
199528,14.6,65.8,4.4,95.8,A
532187,6.6,75.3,6.5,57.9,C
920814,22.6,77.7,4.6,100.0,A
935026,9.8,83.0,4.1,73.1,B
514450,9.2,90.2,7.7,93.5,A
941566,18.5,100.0,6.9,96.9,A
158993,14.0,100.0,7.1,81.9,B
995279,6.8,88.7,4.9,81.2,B
607357,11.1,75.9,8.6,68.7,C
567224,23.7,82.8,4.7,100.0,A
924645,23.6,86.2,8.4,100.0,A
120647,15.5,69.3,8.2,94.6,A
98151,17.1,89.2,5.8,85.7,A
740316,7.1,100.0,7.2,81.0,B
795487,17.9,84.9,6.5,86.1,A
638309,15.2,85.6,5.6,91.8,A
859619,17.6,92.1,5.1,100.0,A
30321,15.1,94.0,5.2,78.0,B
622550,20.3,74.3,6.1,100.0,A
27964,13.9,87.1,5.4,63.9,C
896188,19.2,91.1,5.7,95.8,A
528533,17.6,72.9,6.2,78.5,B
91198,25.7,100.0,8.3,100.0,A
644428,14.3,86.0,5.0,75.2,B
361513,14.7,76.1,7.2,80.6,B
705986,5.7,89.6,5.0,57.0,C
735053,17.7,99.0,3.3,100.0,A
15921,15.9,88.3,6.4,78.7,B
871824,29.8,77.3,6.7,100.0,A
346149,15.3,97.4,8.7,93.0,A
597099,21.5,69.5,6.8,100.0,A
306874,19.0,81.6,6.0,97.9,A
909953,26.4,94.9,7.5,100.0,A
950087,13.6,82.4,3.9,85.7,A
759041,10.9,93.3,7.5,67.1,C
462526,1.8,85.2,6.2,48.2,D
662245,25.6,69.2,5.3,99.2,A
696213,18.6,87.8,10.0,100.0,A
141888,7.2,85.1,4.0,64.2,C
604825,15.9,81.5,2.6,93.2,A
584243,15.5,86.0,3.3,88.0,A
143249,17.3,90.5,7.0,96.7,A
455702,7.9,76.1,4.3,70.1,B
122339,6.9,81.1,2.0,75.2,B
716009,1.8,56.5,5.9,52.1,D
653637,14.7,77.8,5.0,100.0,A
358748,29.2,88.9,3.9,100.0,A
974039,14.6,85.1,9.7,80.5,B
321780,17.3,83.0,4.8,76.7,B
540479,11.1,77.4,5.1,92.5,A
751997,17.7,92.7,4.2,100.0,A
183569,20.4,81.1,8.5,93.5,A
749754,2.9,90.0,8.1,48.0,D
568229,17.6,100.0,5.3,87.5,A
119620,13.0,96.1,6.0,97.5,A
861635,17.4,75.0,8.0,85.4,A
780382,10.6,80.8,6.6,65.6,C
252027,22.4,86.1,7.2,100.0,A
394958,6.8,95.1,3.5,60.3,C
542973,8.3,74.7,0.8,63.7,C
648862,1.5,80.3,5.6,53.4,D
298013,14.4,80.8,4.2,84.0,B
285676,15.9,68.7,7.8,93.1,A
961339,8.1,93.3,4.9,66.4,C
432372,11.1,74.8,3.3,79.0,B
307799,22.1,84.6,5.3,100.0,A
373281,28.6,77.4,8.5,100.0,A
648369,16.2,99.5,4.1,75.1,B
49624,28.7,94.9,5.4,100.0,A
330567,7.1,82.0,8.2,57.9,C
580404,15.3,89.2,4.4,80.1,B
148485,13.7,93.8,6.9,100.0,A
696240,13.7,84.2,7.1,90.4,A
489114,11.3,92.3,4.9,72.4,B
964939,5.8,98.0,6.3,63.4,C
352952,10.9,77.9,6.2,92.3,A
214218,13.0,93.3,5.7,98.6,A
43275,20.3,81.1,7.3,100.0,A
762640,11.3,64.5,8.7,89.8,A
480990,19.2,84.6,5.2,100.0,A
125146,14.5,80.5,7.4,77.6,B
655617,20.2,85.2,6.1,100.0,A
522841,5.9,92.4,4.3,80.7,B
696591,18.4,81.4,5.1,97.0,A
113388,17.5,94.2,4.9,98.8,A
590300,15.6,87.5,5.7,100.0,A
696608,15.5,88.5,7.6,74.7,B
592288,16.8,99.7,6.0,100.0,A
340742,9.6,69.6,5.4,78.9,B
184781,22.0,86.4,6.7,100.0,A
723571,6.7,96.3,7.8,65.8,C
698253,6.8,73.9,4.1,69.3,C
948561,24.2,89.6,3.9,97.6,A
487425,20.5,88.9,5.3,100.0,A
326076,11.2,98.9,5.2,83.0,B
778660,12.4,91.1,8.2,69.6,C
661040,17.9,92.1,10.0,83.6,B
684661,16.5,82.0,3.0,68.0,C
13374,15.5,66.3,7.2,100.0,A
995316,16.1,78.8,3.6,89.1,A
259362,13.8,81.9,4.6,98.9,A
737971,23.5,93.2,5.6,100.0,A
708092,6.3,90.9,9.2,84.9,B
490878,12.4,83.3,7.6,82.7,B
466440,14.7,89.0,5.7,89.4,A
944952,12.6,79.7,7.2,66.0,C
719757,14.4,77.3,7.1,82.3,B
134217,25.2,68.9,5.5,100.0,A
145155,19.0,87.1,9.5,100.0,A
527357,6.0,83.7,8.7,60.7,C
652556,15.7,85.0,2.6,92.1,A
792578,23.4,77.0,7.2,100.0,A
965855,9.8,85.1,7.5,65.6,C
304683,12.8,84.3,8.7,72.8,B
902073,10.7,83.8,5.4,76.8,B
602845,7.6,89.9,8.4,69.9,C
813897,28.3,79.1,3.1,100.0,A
728236,12.2,77.9,7.3,81.2,B
630162,25.7,89.4,5.3,100.0,A
789556,21.8,83.4,7.5,100.0,A
762142,17.8,85.5,7.2,90.7,A
602328,5.6,71.8,1.9,52.4,D
858788,15.5,69.2,5.3,85.4,A
385484,5.8,95.7,4.8,84.8,B
474812,17.6,82.3,6.4,81.7,B
550034,7.2,80.3,6.5,80.6,B
573559,4.7,100.0,4.3,45.3,D
329039,12.8,81.8,4.4,86.9,A
642789,6.9,80.4,7.7,57.5,C
576650,3.0,92.4,4.6,63.7,C
578366,14.8,87.3,8.6,89.2,A
857349,18.7,73.1,4.9,100.0,A
284922,16.2,79.5,5.8,96.0,A
13997,17.9,90.7,4.3,100.0,A
501170,8.0,65.2,5.2,73.6,B
18043,5.8,92.9,5.5,40.2,D
292259,24.9,80.9,7.8,100.0,A
3919,21.6,72.3,9.3,100.0,A
14063,8.9,82.6,5.9,58.3,C
817045,23.2,82.0,6.5,91.3,A
809182,6.2,80.4,6.1,70.6,B
403045,31.7,96.3,5.3,100.0,A
627981,6.3,92.7,2.9,55.9,C
384263,11.4,99.6,6.7,86.1,A
249055,13.3,93.8,6.9,77.5,B
67299,14.4,84.1,5.4,84.4,B
339779,17.3,95.4,6.3,100.0,A
853199,19.9,83.4,7.1,93.1,A
171974,14.1,81.1,10.0,89.1,A
330757,12.9,96.1,8.7,70.7,B
313680,21.2,95.6,5.2,97.2,A
81096,21.5,67.4,6.6,97.6,A
82749,12.1,98.3,3.4,95.8,A
139687,16.3,98.4,6.1,91.3,A
489620,16.5,85.6,6.7,85.2,A
506532,12.7,74.7,9.3,83.2,B
358724,15.3,100.0,4.6,91.3,A
779455,15.1,90.7,2.8,87.4,A
633778,23.4,85.4,4.8,100.0,A
183514,22.3,89.3,5.1,100.0,A
33225,7.1,84.0,7.2,78.0,B
567096,6.5,81.4,4.9,73.0,B
819654,0.0,92.6,1.7,39.2,F
653120,18.8,79.7,8.2,83.7,B
182396,8.4,83.6,8.2,71.9,B
52403,9.9,81.0,7.9,69.6,C
605878,20.8,70.7,6.2,100.0,A
505603,7.3,79.6,4.3,64.1,C
127889,11.1,98.3,7.1,76.2,B
84895,12.9,91.7,5.5,86.1,A
58836,11.6,69.7,2.9,89.8,A
510617,26.6,77.3,4.3,100.0,A
217161,21.1,85.4,6.0,100.0,A
751172,5.4,83.7,7.7,53.6,D
793422,6.3,89.0,7.6,46.9,D
742365,20.0,80.4,4.1,100.0,A
423384,12.9,84.6,2.1,77.1,B
408081,15.2,79.7,8.2,82.1,B
151112,10.2,85.5,4.6,69.6,C
337358,13.1,82.2,4.4,66.3,C
512477,22.7,100.0,5.7,100.0,A
273908,9.1,82.8,3.1,85.5,A
173547,8.6,100.0,8.7,62.6,C
763199,18.6,89.0,3.5,70.9,B
474534,10.9,65.3,7.7,82.2,B
96437,8.0,84.2,5.8,53.1,D
456079,18.0,100.0,10.0,92.1,A
547704,14.4,89.3,3.1,96.1,A
138802,13.0,56.5,5.2,91.6,A
198506,14.1,95.7,7.8,80.0,B
387673,8.8,72.2,5.4,60.4,C
939606,5.3,95.8,5.8,64.5,C
234037,21.6,86.7,5.7,100.0,A
785556,9.7,78.4,9.2,85.2,A
254293,8.4,89.7,5.3,74.1,B
780365,7.4,85.9,6.5,71.2,B
363264,7.7,78.5,5.0,64.4,C
136060,15.7,100.0,4.6,92.9,A
51565,22.6,84.3,8.2,100.0,A
8718,16.0,77.0,9.4,100.0,A
835420,16.0,73.2,5.7,100.0,A
771750,12.9,87.1,5.7,78.0,B
778959,14.9,88.5,7.1,78.9,B
864373,3.2,72.3,9.1,49.9,D
86460,17.4,97.7,4.0,91.0,A
257327,8.6,89.4,7.4,61.5,C
130278,8.6,94.8,5.5,82.1,B
947557,10.8,65.1,7.3,77.3,B
182432,23.6,77.3,0.0,100.0,A
92377,13.0,65.9,8.2,79.9,B
971066,16.2,78.1,6.5,87.7,A
393609,21.3,100.0,3.2,100.0,A
105759,19.9,85.4,6.1,100.0,A
494035,0.2,82.2,4.8,53.9,D
287575,18.7,71.0,7.2,86.6,A
920624,10.5,72.9,4.8,73.3,B
116593,5.0,82.1,4.5,62.1,C
924239,2.2,77.1,7.2,66.0,C
305341,5.9,85.2,6.0,57.7,C
57394,12.5,88.2,4.7,90.2,A
467428,21.5,89.5,6.9,93.1,A
752404,17.4,86.6,7.6,100.0,A
999561,6.9,79.3,7.6,53.1,D
340826,19.1,83.6,8.9,100.0,A
37916,4.3,99.5,4.9,63.7,C
681606,20.0,81.1,7.0,100.0,A
585985,20.5,83.8,5.5,100.0,A
918231,25.2,65.0,6.2,94.0,A
806085,5.2,92.4,5.3,59.3,C
717037,15.7,75.8,5.6,87.9,A
649113,22.3,71.2,5.7,100.0,A
455035,20.6,78.8,8.2,100.0,A
166474,16.1,100.0,3.8,85.6,A
646513,23.1,73.9,7.4,100.0,A
337831,17.5,64.7,5.6,96.3,A
30376,20.2,80.5,9.0,100.0,A
64291,15.5,86.9,6.1,80.2,B
405716,19.6,100.0,7.7,91.7,A
139428,12.8,95.5,0.8,89.6,A
507443,6.6,90.3,4.6,70.3,B
132694,23.2,82.5,9.4,100.0,A
936792,21.5,75.5,7.7,93.4,A
513269,16.1,79.2,6.0,87.4,A
742337,24.5,95.4,4.2,100.0,A
721136,11.9,78.1,7.3,84.9,B
751314,20.3,78.2,4.3,100.0,A
166878,18.3,97.8,4.0,98.9,A
23286,18.2,85.6,6.6,88.2,A
510045,21.0,80.2,4.0,100.0,A
253944,22.1,80.4,6.4,100.0,A
903554,15.7,81.1,7.1,88.2,A
166605,15.3,92.2,5.6,92.8,A
158684,17.3,88.1,6.8,80.6,B
395979,11.4,84.4,7.6,87.9,A
9955,16.8,87.8,7.2,88.3,A
855215,0.0,83.0,9.1,39.6,F
630092,29.0,86.8,2.8,100.0,A
761264,20.6,81.3,6.2,100.0,A
108150,23.1,78.6,6.2,100.0,A
349139,18.5,97.9,5.1,100.0,A
987781,15.2,88.0,8.4,68.8,C
804755,8.8,97.2,8.0,80.4,B
332469,4.7,78.8,5.9,69.9,C
629265,7.0,90.9,5.6,68.3,C
566364,6.6,86.7,5.7,76.7,B
577930,4.1,62.2,3.6,72.3,B
1711,22.7,75.3,6.3,100.0,A
499235,13.7,73.1,9.9,87.5,A
43755,16.4,90.3,6.8,71.0,B
738691,18.6,72.5,8.2,87.4,A
521181,9.3,63.9,5.8,86.0,A
906539,19.3,91.4,6.8,89.2,A
988205,7.6,74.2,7.4,68.3,C
671355,23.1,78.3,5.4,92.2,A
964598,9.7,86.1,8.9,93.8,A
917989,8.1,81.4,2.4,72.4,B
370959,23.8,83.9,6.9,100.0,A
277801,18.9,72.2,10.0,90.3,A
775109,6.6,63.3,3.8,57.9,C
133718,20.9,100.0,5.6,98.0,A
3727,18.5,80.3,7.5,95.7,A
107757,14.6,79.5,4.6,100.0,A
804835,5.4,90.5,8.1,78.4,B
329182,22.6,85.3,3.1,100.0,A
934075,17.5,77.5,3.4,100.0,A
510677,16.4,88.1,4.3,93.0,A
949429,17.2,82.6,6.9,100.0,A
204140,9.9,87.2,6.8,77.3,B
185914,14.8,62.8,4.2,93.6,A
942742,11.4,68.3,5.5,77.8,B
892519,22.7,77.7,5.0,100.0,A
324915,15.5,99.8,5.8,92.0,A
840746,18.6,74.9,5.7,97.7,A
583341,15.4,72.3,2.7,76.4,B
245762,0.8,82.2,7.2,37.1,F
863831,5.4,78.1,6.4,53.9,D
241722,17.4,87.5,6.3,100.0,A
590348,9.3,86.4,4.8,80.3,B
542039,14.3,81.9,3.7,65.4,C
980220,2.6,93.3,10.0,54.5,D
200079,18.4,77.4,8.0,91.5,A
67080,14.7,91.7,8.4,88.4,A
630215,16.5,87.0,9.3,84.8,B
651873,17.8,67.9,7.7,91.5,A
171563,10.3,94.1,8.2,66.6,C
606024,12.5,69.2,7.9,73.2,B
446194,16.7,84.0,5.7,92.8,A
31481,23.5,79.9,5.1,100.0,A
14931,32.1,66.3,7.6,100.0,A
913466,23.5,75.0,8.9,100.0,A
940969,13.4,78.1,7.0,75.4,B
337638,15.3,80.2,3.4,71.3,B
23674,19.5,97.6,4.4,100.0,A
720398,16.6,91.0,6.1,91.0,A
60541,15.8,95.4,2.4,86.9,A
422426,22.0,87.6,6.5,100.0,A
178035,13.9,100.0,6.2,81.6,B
318065,16.6,81.0,7.7,81.4,B
960457,21.2,88.3,7.7,100.0,A
597280,15.4,84.9,7.1,100.0,A
240652,15.1,81.9,5.7,71.7,B
860509,14.0,80.8,6.9,95.4,A
10465,13.1,95.2,2.3,100.0,A
880165,6.7,87.8,7.0,63.5,C
250557,14.1,96.0,8.5,81.9,B
324044,16.4,84.3,4.8,92.8,A
399197,19.2,94.1,5.1,100.0,A
196808,18.5,86.3,6.2,90.3,A
221877,4.8,82.6,4.4,70.6,B
660824,10.7,85.7,3.9,71.4,B
452448,18.2,90.1,6.0,100.0,A
90152,21.8,82.4,6.5,100.0,A
144139,24.1,77.3,7.3,100.0,A
979593,9.0,97.9,6.2,73.9,B
870290,5.9,87.2,6.3,78.2,B
842883,0.0,100.0,6.9,71.7,B
114136,19.0,93.5,5.5,99.2,A
52414,28.0,78.0,0.6,100.0,A
904744,24.2,98.2,6.0,100.0,A
407528,26.2,68.6,6.5,100.0,A
782232,19.3,83.4,5.1,100.0,A
622143,20.8,94.5,3.8,92.2,A
12974,16.6,72.8,6.2,100.0,A
877531,17.1,83.5,4.2,90.6,A
272356,22.4,82.0,6.5,100.0,A
113373,19.1,85.3,10.0,100.0,A
122582,3.5,85.2,5.0,59.7,C
812445,10.5,94.5,2.9,66.0,C
860003,13.9,86.7,4.7,90.1,A
943203,12.8,79.1,7.8,97.4,A
167490,16.5,78.6,7.1,83.1,B
961315,12.1,93.5,7.8,88.8,A
647360,31.5,100.0,5.0,100.0,A
931205,13.9,93.0,6.3,72.1,B
23683,4.6,80.3,6.4,63.8,C
848534,25.9,79.7,6.2,100.0,A
751502,14.4,82.2,5.2,94.2,A
481860,19.3,96.6,7.0,94.8,A
23952,15.7,87.3,9.5,88.6,A
378209,26.5,95.8,6.3,100.0,A
868698,16.7,77.8,4.0,91.2,A
546942,19.4,82.2,5.9,100.0,A
901729,23.4,100.0,5.0,92.3,A
321779,6.5,84.7,7.6,54.7,D
971149,8.2,83.0,6.5,70.4,B
61677,17.3,78.5,6.5,98.9,A
169483,18.4,84.9,5.1,85.6,A
674943,19.1,83.5,10.0,100.0,A
416509,5.7,80.1,6.5,55.9,C
712239,22.6,85.0,6.1,97.8,A
92084,10.2,92.5,6.3,74.6,B
113068,10.7,85.3,7.3,70.7,B
960561,0.9,72.5,6.3,47.4,D
168064,15.9,78.4,7.5,77.7,B
18093,11.6,96.6,7.0,69.1,C
868206,14.5,92.9,6.8,100.0,A
980295,16.1,75.9,6.2,92.2,A
865261,7.7,95.7,5.5,64.4,C
396639,19.7,91.3,6.3,100.0,A
293541,29.8,100.0,1.5,100.0,A
96512,15.8,84.7,6.5,87.4,A
131553,12.6,85.4,7.3,85.7,A
678827,0.5,100.0,6.9,67.3,C
313600,17.1,100.0,8.3,100.0,A
853785,17.5,100.0,6.5,80.0,B
155553,4.9,100.0,7.0,56.2,C
672359,12.0,84.4,3.5,68.2,C
661483,9.8,79.3,5.1,72.2,B
173512,21.2,90.0,7.9,100.0,A
993153,14.7,83.6,7.8,89.9,A
817323,8.5,65.6,6.5,85.8,A
74397,24.9,100.0,6.6,100.0,A
33381,14.0,73.6,4.8,95.2,A
131915,14.3,85.1,10.0,83.5,B
921166,29.0,96.5,5.7,100.0,A
191116,0.2,84.6,10.0,57.6,C
169123,11.6,88.2,7.3,63.3,C
58471,21.1,91.6,8.1,100.0,A
164672,16.4,91.9,10.0,93.6,A
407892,15.3,85.9,5.7,95.5,A
224871,10.2,62.3,5.7,75.1,B
715677,13.1,84.3,7.9,84.0,B
179130,19.8,91.4,9.8,90.3,A
390434,27.8,96.0,2.3,100.0,A
4417,16.8,90.2,5.3,100.0,A
250210,17.4,92.3,9.5,100.0,A
332271,14.4,90.1,7.4,83.5,B
476291,10.5,79.4,6.8,82.4,B
863785,8.2,83.4,9.3,70.9,B
982816,6.8,63.1,4.4,64.4,C
590888,15.3,89.6,0.1,100.0,A
532311,24.0,94.9,5.2,100.0,A
160878,23.2,80.4,3.7,100.0,A
203287,24.1,100.0,4.7,100.0,A
489241,13.8,91.8,5.1,89.9,A
186090,9.4,90.1,5.2,72.4,B
807089,9.1,77.7,6.5,67.8,C
977289,12.3,96.9,6.6,87.0,A
16248,9.2,82.2,5.2,73.0,B
947798,15.9,100.0,8.6,93.7,A
799218,7.3,90.9,4.3,72.0,B
12285,14.0,90.6,2.8,81.6,B
148418,15.1,93.2,6.2,74.7,B
547780,23.5,75.2,4.9,100.0,A
740547,25.2,87.6,5.8,100.0,A
977553,22.0,78.0,1.3,100.0,A
507951,0.0,94.3,10.0,52.4,D
689412,3.6,68.7,3.6,75.3,B
311168,24.3,86.9,4.3,100.0,A
615316,14.7,96.6,5.3,94.3,A
